team_id,team,total_matches,wins,draws,losses,win_rate,goals_scored,goals_conceded,goal_diff,home_win_rate
9930,FC Aarau,144,35,34,75,0.2431,153,274,-121,0.3472
9836,Dijon FCO,38,9,9,20,0.2368,38,63,-25,0.3158
8521,Stade Brestois 29,114,27,35,52,0.2368,99,143,-44,0.3158
10278,Hércules Club de Fútbol,38,9,8,21,0.2368,36,60,-24,0.3684
9976,Bari,76,18,20,38,0.2368,76,105,-29,0.3421
9867,CD Tenerife,38,9,9,20,0.2368,40,74,-34,0.4211
8682,Le Mans FC,76,18,18,40,0.2368,79,113,-34,0.3158
208931,Carpi,38,9,11,18,0.2368,37,57,-20,0.3158
188163,Tondela,34,8,6,20,0.2353,34,54,-20,0.1765
8295,Karlsruher SC,34,8,5,21,0.2353,30,54,-24,0.2941
8152,FC St. Pauli,34,8,5,21,0.2353,35,68,-33,0.2353
8398,FC Energie Cottbus,34,8,6,20,0.2353,30,57,-27,0.3529
7788,SC Cambuur,102,24,26,52,0.2353,119,185,-66,0.3922
9807,CF Os Belenenses,158,37,53,68,0.2342,148,230,-82,0.2785
10238,Vitória Setúbal,248,58,65,125,0.2339,238,407,-169,0.3306
274581,Royal Excel Mouscron,60,14,14,32,0.2333,71,102,-31,0.3
6493,AC Bellinzona,108,25,25,58,0.2315,128,218,-90,0.3148
9800,St. Mirren,266,61,74,131,0.2293,257,393,-136,0.2556
8588,RC Lens,114,26,34,54,0.2281,107,163,-56,0.3333
10215,Académica de Coimbra,248,56,82,110,0.2258,240,346,-106,0.2823
8462,Portsmouth,76,17,18,41,0.2237,72,123,-51,0.3421
8322,Arka Gdynia,90,20,26,44,0.2222,77,121,-44,0.3556
10211,SC Beira Mar,90,20,25,45,0.2222,93,129,-36,0.2667
8614,Sparta Rotterdam,68,15,16,37,0.2206,76,132,-56,0.3529
8602,Wolverhampton Wanderers,114,25,28,61,0.2193,118,204,-86,0.2807
7730,FC Lausanne-Sports,106,23,18,65,0.217,99,183,-84,0.3019
9888,Lecce,111,24,33,54,0.2162,121,185,-64,0.2364
8525,Willem II,204,44,41,119,0.2157,222,405,-183,0.3039
2033,S.C. Olhanense,150,32,55,63,0.2133,138,209,-71,0.2533
9839,VVV-Venlo,136,29,28,79,0.2132,152,273,-121,0.3382
8667,Hull City,152,32,41,79,0.2105,144,243,-99,0.2763
6391,GFC Ajaccio,38,8,13,17,0.2105,37,58,-21,0.2632
9868,Xerez Club Deportivo,38,8,10,20,0.2105,38,66,-28,0.3158
8479,RC Recreativo,38,8,9,21,0.2105,34,57,-23,0.2105
9891,Frosinone,38,8,7,23,0.2105,35,76,-41,0.3158
9764,Gil Vicente FC,124,26,35,63,0.2097,110,193,-83,0.2903
4049,Tubize,34,7,6,21,0.2059,35,77,-42,0.3529
6601,FC Volendam,34,7,8,19,0.2059,38,67,-29,0.3529
8194,Fortuna Düsseldorf,34,7,9,18,0.2059,39,57,-18,0.2941
8460,SC Paderborn 07,34,7,10,17,0.2059,31,65,-34,0.2353
6367,Uniao da Madeira,34,7,8,19,0.2059,27,50,-23,0.3529
9765,Portimonense,30,6,7,17,0.2,29,49,-20,0.2667
10218,Excelsior,136,27,35,74,0.1985,154,265,-111,0.2794
8526,De Graafschap,136,27,34,75,0.1985,130,254,-124,0.2647
8596,Falkirk,76,15,24,37,0.1974,68,109,-41,0.2368
8191,Burnley,76,15,18,43,0.1974,70,135,-65,0.2895
9855,Grenoble Foot 38,76,15,22,39,0.1974,55,98,-43,0.2632
9999,KSV Roeselare,62,12,12,38,0.1935,62,117,-55,0.2581
8576,AC Ajaccio,114,22,40,52,0.193,116,184,-68,0.2807
10172,Queens Park Rangers,114,22,26,66,0.193,115,199,-84,0.2632
9911,VfL Bochum,68,13,21,34,0.1912,72,119,-47,0.2059
9746,Le Havre AC,38,7,5,26,0.1842,30,67,-37,0.2105
4170,US Boulogne Cote D'Opale,38,7,10,21,0.1842,31,62,-31,0.2105
9858,Brescia,38,7,11,20,0.1842,34,52,-18,0.3158
8549,Middlesbrough,38,7,11,20,0.1842,28,57,-29,0.2632
8344,Cardiff City,38,7,9,22,0.1842,32,74,-42,0.2632
8550,FC Metz,38,7,9,22,0.1842,31,61,-30,0.3158
9776,Eintracht Braunschweig,34,6,7,21,0.1765,29,60,-31,0.2941
9824,FC Vaduz,108,19,32,57,0.1759,100,204,-104,0.1852
9989,Lierse SK,126,22,43,61,0.1746,113,222,-109,0.2381
9880,Cesena,110,19,30,61,0.1727,98,179,-81,0.2182
8537,Livorno,76,13,15,48,0.1711,66,138,-72,0.2368
6351,KAS Eupen,30,5,8,17,0.1667,28,50,-22,0.2
6269,Novara,36,6,11,19,0.1667,34,64,-30,0.2222
4064,Feirense,30,5,9,16,0.1667,27,49,-22,0.2
7992,Trofense,30,5,8,17,0.1667,25,42,-17,0.2
9798,Reading,38,6,10,22,0.1579,43,73,-30,0.2105
9878,Pescara,38,6,4,28,0.1579,27,84,-57,0.2105
8690,Reggio Calabria,38,6,13,19,0.1579,30,62,-32,0.1579
6547,FC Penafiel,34,5,7,22,0.1471,29,69,-40,0.1765
10242,ES Troyes AC,76,11,22,43,0.1447,71,144,-73,0.1842
8457,Dunfermline Athletic,38,5,10,23,0.1316,40,82,-42,0.0526
6631,FC Dordrecht,34,4,8,22,0.1176,24,76,-52,0.1765
9912,DSC Arminia Bielefeld,34,4,16,14,0.1176,29,56,-27,0.1176
8357,SpVgg Greuther Fürth,34,4,9,21,0.1176,26,60,-34,0.0
7869,Córdoba CF,38,3,11,24,0.0789,22,68,-46,0.0526
108893,AC Arles-Avignon,38,3,11,24,0.0789,21,70,-49,0.1053
