bowler,runs_conceded,balls_bowled,matches,overs,economy,wickets,bowling_avg
YK Pathan,1443,1184,82,197.33333333333334,7.31,46,31.37
Iqbal Abdulla,1125,943,48,157.16666666666666,7.16,45,25.0
MP Stoinis,1300,831,62,138.5,9.39,45,28.89
PJ Sangwan,1267,905,42,150.83333333333334,8.4,44,28.8
P Awana,1046,774,33,129.0,8.11,43,24.33
S Sreesanth,1221,947,44,157.83333333333334,7.74,43,28.4
DE Bollinger,716,600,27,100.0,7.16,43,16.65
R Sharma,1100,935,44,155.83333333333334,7.06,42,26.19
GJ Maxwell,1311,965,79,160.83333333333334,8.15,41,31.98
MM Ali,900,770,52,128.33333333333334,7.01,40,22.5
WD Parnell,968,758,33,126.33333333333333,7.66,40,24.2
DT Christian,1218,922,49,153.66666666666666,7.93,40,30.45
M Kartik,1418,1182,55,197.0,7.2,39,36.36
Yuvraj Singh,1091,882,73,147.0,7.42,39,27.97
Washington Sundar,1335,1064,58,177.33333333333334,7.53,39,34.23
MS Gony,1317,925,44,154.16666666666666,8.54,39,33.77
P Negi,954,733,42,122.16666666666667,7.81,38,25.11
M Pathirana,617,503,20,83.83333333333333,7.36,38,16.24
DP Nannes,815,689,29,114.83333333333333,7.1,38,21.45
M Markande,1081,737,37,122.83333333333333,8.8,37,29.22
NLTC Perera,1031,715,36,119.16666666666667,8.65,37,27.86
MR Marsh,803,593,34,98.83333333333333,8.12,37,21.7
PWH de Silva,758,557,26,92.83333333333333,8.17,36,21.06
R Tewatia,1117,866,52,144.33333333333334,7.74,36,31.03
CJ Jordan,1111,717,34,119.5,9.3,36,30.86
KK Cooper,789,600,25,100.0,7.89,36,21.92
JR Hazlewood,830,622,27,103.66666666666667,8.01,36,23.06
M Ashwin,1182,898,44,149.66666666666666,7.9,35,33.77
DL Vettori,894,785,34,130.83333333333334,6.83,34,26.29
MF Maharoof,532,441,20,73.5,7.24,33,16.12
Shivam Mavi,958,687,32,114.5,8.37,33,29.03
AB Agarkar,1174,820,42,136.66666666666666,8.59,33,35.58
Yash Dayal,933,615,28,102.5,9.1,31,30.1
Harmeet Singh,747,574,28,95.66666666666667,7.81,31,24.1
A Singh,639,486,23,81.0,7.89,31,20.61
BA Stokes,1023,723,38,120.5,8.49,31,33.0
Umran Malik,785,519,26,86.5,9.08,31,25.32
Azhar Mahmood,707,552,23,92.0,7.68,31,22.81
Mukesh Kumar,707,420,20,70.0,10.1,31,22.81
CR Woakes,674,463,21,77.16666666666667,8.73,31,21.74
SK Raina,1139,930,69,155.0,7.35,30,37.97
B Lee,1126,916,38,152.66666666666666,7.38,30,37.53
A Zampa,562,425,20,70.83333333333333,7.93,30,18.73
L Ngidi,460,342,14,57.0,8.07,28,16.43
STR Binny,763,611,63,101.83333333333333,7.49,28,27.25
AD Mathews,1095,807,44,134.5,8.14,28,39.11
PV Tambe,866,674,33,112.33333333333333,7.71,28,30.93
J Botha,818,709,34,118.16666666666667,6.92,27,30.3
Harshit Rana,590,403,19,67.16666666666667,8.78,27,21.85
DR Smith,825,557,46,92.83333333333333,8.89,27,30.56
Yash Thakur,702,432,19,72.0,9.75,27,26.0
R Dhawan,922,693,36,115.5,7.98,27,34.15
Mohsin Khan,698,507,23,84.5,8.26,27,25.85
Naveen-ul-Haq,602,407,17,67.83333333333333,8.87,26,23.15
SW Tait,668,534,21,89.0,7.51,26,25.69
Navdeep Saini,968,682,31,113.66666666666667,8.52,26,37.23
Basil Thampi,862,539,25,89.83333333333333,9.6,26,33.15
GB Hogg,585,466,21,77.66666666666667,7.53,25,23.4
Harpreet Brar,907,692,39,115.33333333333333,7.86,25,36.28
