player,total_runs,balls_faced,fours,sixes,innings,strike_rate,avg_runs_per_innings
A Mithun,34,26,4,1,6,130.77,5.67
Imran Tahir,33,37,5,0,8,89.19,4.12
Navdeep Saini,33,38,3,0,7,86.84,4.71
Basil Thampi,32,37,1,1,7,86.49,4.57
Ravi Bishnoi,32,52,2,0,14,61.54,2.29
RJ Peterson,32,32,3,1,5,100.0,6.4
Arshdeep Singh,29,42,4,0,11,69.05,2.64
J Syed Mohammad,29,27,4,0,5,107.41,5.8
SB Jakati,28,30,3,0,5,93.33,5.6
AS Joseph,27,32,3,0,5,84.38,5.4
AB Dinda,26,50,2,0,16,52.0,1.62
AS Rajpoot,26,41,2,1,7,63.41,3.71
AS Roy,26,24,3,0,6,108.33,4.33
PJ Sangwan,26,47,1,0,14,55.32,1.86
Sanvir Singh,25,22,2,1,5,113.64,5.0
CV Varun,25,49,2,0,10,51.02,2.5
Mohsin Khan,25,27,2,1,5,92.59,5.0
KC Cariappa,24,21,0,2,5,114.29,4.8
AJ Turner,24,31,0,2,6,77.42,4.0
Umran Malik,23,16,1,2,5,143.75,4.6
AF Milne,23,31,0,1,6,74.19,3.83
SW Tait,23,26,1,1,5,88.46,4.6
KL Nagarkoti,22,34,1,0,7,64.71,3.14
M Muralitharan,20,30,1,0,9,66.67,2.22
S Kaul,20,36,1,0,9,55.56,2.22
RR Raje,20,18,1,1,5,111.11,4.0
C Sakariya,20,31,3,0,7,64.52,2.86
JR Hazlewood,19,29,1,0,6,65.52,3.17
NT Ellis,19,26,0,1,5,73.08,3.8
PV Tambe,18,39,1,0,6,46.15,3.0
KMA Paul,18,26,1,1,5,69.23,3.6
PP Ojha,16,45,0,0,19,35.56,0.84
A Zampa,15,25,1,0,5,60.0,3.0
VY Mahesh,15,28,0,0,5,53.57,3.0
G Coetzee,14,22,0,1,5,63.64,2.8
Kartik Tyagi,13,16,1,0,6,81.25,2.17
Noor Ahmad,13,18,2,0,5,72.22,2.6
S Badree,13,25,0,0,5,52.0,2.6
Mustafizur Rahman,13,23,0,1,6,56.52,2.17
Mujeeb Ur Rahman,12,15,2,0,6,80.0,2.0
Mukesh Kumar,10,20,0,0,5,50.0,2.0
BB Sran,10,14,0,0,7,71.43,1.43
M Prasidh Krishna,9,24,0,0,7,37.5,1.29
VG Arora,9,17,0,0,7,52.94,1.29
TS Mills,8,14,0,1,5,57.14,1.6
Pankaj Singh,7,12,0,0,5,58.33,1.4
P Awana,5,14,0,0,5,35.71,1.0
A Singh,2,10,0,0,5,20.0,0.4
KK Ahmed,1,7,0,0,5,14.29,0.2
